,t,px,py,pz,qw,qx,qy,qz,vx,vy,vz,omex,omey,omez,accx,accy,accz,taux,tauy,tauz,jerkx,jerky,jerkz,snapx,snapy,snapz,bomex,bomey,bomez,baccx,baccy,baccz,mot1,mot2,mot3,mot4,motdex1,motdex2,motdex3,motdex4,f1,f2,f3,f4
1,0.02,-6.322501141096672,3.5218516156827357,0.4819708948103474,1.0,1.2165270103623684e-27,5.303110032292305e-28,3.800941958135414e-28,-2.1834191200666457e-25,-3.4119890274949356e-26,-0.09787941685783079,-4.141282798647678e-26,2.3232383638905356e-26,-9.193392323964714e-27,2.556460953304018e-26,1.4159770489058905e-26,-9.77116838689429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.539373610896394,10.0,8.503435453708045,0.29973339801147403
2,0.03,-6.322500618515816,3.521850751760279,0.4809158093606712,0.9999796912672465,0.0053571699300623,0.003444562313677502,-0.00022972564100046897,0.0003002341009356253,-0.00048485081667750654,-0.07657989264271543,2.9816087059952046,2.0768320805655676,-0.1312111240587898,0.11484323804943417,-0.18033384474292954,9.632465859454307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2593.0518009286775,1351.0111093085238,1399.343463975053,0.0,2575.6380551736015,1513.6162501622023,1393.559434312837,14.539373610896394,10.0,8.503435453708045,0.29973339801147403
3,0.04,-6.322483048815166,3.521824968990644,0.48056311264446067,0.9993315362790169,0.029307390331230008,0.02182470318690031,-0.0011134635138675825,0.004090617345043849,-0.005797264878240616,-0.0020777859783808056,6.274574411073759,4.994408184958758,-0.18976197395467032,0.6283935279973668,-0.8471979976416525,5.4577769961778415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.50033575260403,1971.3543743549203,1465.2379919621826,1456.6672143287283,358.5305471628538,1845.0531394072602,1471.9139458785685,1459.655733314978,14.539373610896394,10.0,8.503435453708045,0.29973339801147403
4,0.05,-6.322396976103266,3.521707577734184,0.4807828171116471,0.9965240109692249,0.0656620383490196,0.051235919877929186,-0.0018090870411574386,0.014486354592247773,-0.019364691239270718,0.044803256404219755,8.073905613414249,6.623375393042695,-0.11365559687036807,1.4254890329410217,-1.8325370085448127,4.467365186838553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879.2627109587811,1664.0858133558395,1471.1394093543788,1446.6381080159708,993.1822957561384,1613.009615830853,1466.4802536903023,1446.0689252337813,14.539373610896394,10.0,8.503435453708045,0.29973339801147403
5,0.060000000000000005,-6.322162216491297,3.521399582029508,0.48144933174602567,0.9903440813398763,0.10835551856457891,0.08644990934526513,-0.00202369115068586,0.03413474213314736,-0.04426186503504652,0.08794635812699703,8.994964584479298,7.4879052981543355,-0.02789627643596551,2.4205670334541685,-3.042154564729199,4.1486801415740455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1131.0499978562016,1532.649331939084,1457.6286040208302,1438.4488818024745,1180.8523578373693,1503.4045612821694,1453.4119964461138,1436.261385350522,17.78500536893305,5.058097489919218,3.8332827248752475,0.231540554241529
6,0.07,-6.321679805897735,3.5207807612883886,0.4825263275651521,0.9801804461507766,0.1540693722346439,0.12452247477705176,-0.0017535102753138253,0.0641006231291666,-0.08160323357215331,0.12647363388352562,9.472908484048183,7.957699043156206,0.055655797305919144,3.4706264342024213,-4.301267094333164,3.573704650914902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1251.3576263751536,1460.6844008661158,1442.00811556254,1431.4566134535628,1276.2986045641464,1445.9162400918372,1437.685581252592,1429.4541029502416,24.201408324675413,6.995681509757661,5.172996398019218,0.17188602702838665
7,0.08,-6.320815721716929,3.519689350364152,0.48405540792531887,0.967779552442822,0.19529291154467748,0.15894057267966924,-0.00114495861625253,0.11153951441763592,-0.14008169006968849,0.18152208401561684,7.28765100995004,6.048917203645944,0.10321008569492499,5.271562084153428,-6.478071999247131,5.367740506468849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1855.8629960085873,1035.8734322063922,1526.5026388303154,1590.5486516842063,1660.5139193381328,1388.5343945467916,1531.2546610260297,1596.1472925987387,27.292513503577975,6.66842388297575,4.966878025844532,0.27627250354317284
8,0.09,-6.319366498537817,3.51787829481226,0.48626078834224357,0.9550192079857033,0.23029171364239923,0.1868253256276373,-0.0005802672957125601,0.18342526616954674,-0.2284647702251171,0.26649537514594085,7.248054392661973,5.711527547128057,0.15462519171504874,8.337147401349526,-10.26590405629485,9.674617192225677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1865.2154709731797,1692.613883224965,1780.646858433774,1811.6873381466771,1908.0230041296634,1691.0929962346243,1794.5001323651954,1820.0575666552727,28.76548551508323,5.662301322019671,4.289924687723705,0.3458305568347773
9,0.09999999999999999,-6.317058126402821,3.5150085708280696,0.4894639168893226,0.9407872569286145,0.2639558720607451,0.21271256352743417,-1.108927697530549e-05,0.2819363030268784,-0.35014674093181336,0.3756571801092243,6.940738213772027,5.355169948366998,0.19191273733736772,10.695126197372561,-13.243350844851342,10.981373347809297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1940.821075217369,1859.997952245592,1907.4695690156432,1933.0770200533673,1941.491932508873,1873.873993679689,1916.2943112362098,1935.1646690482419,30.090730400139773,4.467985115696755,3.3286763955847833,0.40421939319279965
10,0.10999999999999999,-6.313665609856208,3.510795810960948,0.49377301752678127,0.9258555575173175,0.29496196888955256,0.23619578458777862,0.000689105260047379,0.399231761062453,-0.495832391587632,0.4852206283407015,6.286070221454015,4.850811589358836,0.2295747370717012,12.362047901726958,-15.384889124228417,10.554091387284469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.3346558262801,1880.3604340274287,1972.4483720618155,1982.6917873409484,1995.4693831375469,1915.9539817792077,1972.3477272134905,1986.9945607924906,31.497162068017843,3.1046871126305833,2.211612705246113,0.44825873790531895
