,t,px,py,pz,qw,qx,qy,qz,vx,vy,vz,omex,omey,omez,accx,accy,accz,taux,tauy,tauz,jerkx,jerky,jerkz,snapx,snapy,snapz,bomex,bomey,bomez,baccx,baccy,baccz,mot1,mot2,mot3,mot4,motdex1,motdex2,motdex3,motdex4,f1,f2,f3,f4
1,0.02,-5.561110342626384,3.1405214890653883,0.4750225948089768,1.0,1.2165270103623684e-27,5.303110032292305e-28,3.800941958135414e-28,-2.1713005440996106e-25,-3.423090879054539e-26,-0.09796830674977901,-4.141282798647678e-26,2.3232383638905356e-26,-9.193392323964714e-27,1.4628282905112035e-25,3.0685198231153644e-27,-9.78804353984948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.072673513463997,9.721046612339554,2.524934268300529,0.3001682406282432
2,0.03,-5.561110242039829,3.1405205788773363,0.47397228064835956,0.9999823587810782,0.005893571212742179,0.000733340007515189,-0.00010078404911090508,5.548595551294787e-05,-0.0004800465329231284,-0.0817185947578566,3.1878539357454665,0.4485030012005743,-0.05877716058126237,0.020171671234673488,-0.1656886555381009,6.355344564513726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2315.8339681392345,568.4240320966411,1914.947700637654,0.0,2183.349831757849,1103.1104392943,1781.5510720192071,14.072673513463997,9.721046612339554,2.524934268300529,0.3001682406282432
3,0.04,-5.5611069895932195,3.140497192854242,0.473408737513378,0.9995362710231641,0.029989950863341063,0.005258722269824192,-0.0004377172732422992,0.000799188544588236,-0.005280003640326356,-0.03419143658859403,6.111709968665474,1.3269506018377248,-0.06299361465005755,0.1371276125293853,-0.7973206973897976,4.183692171818374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648.114127572841,1848.1700507118007,1224.5068297428888,1691.837064919129,842.2959749943891,1768.0541709603267,1260.9644614168271,1677.276616903193,14.072673513463997,9.721046612339554,2.524934268300529,0.3001682406282432
4,0.05,-5.561088290794869,3.1403870959571853,0.47327459414168205,0.9978043744390098,0.06489151168550664,0.01323510051684856,-0.0005951267554651465,0.0033110733635942215,-0.018373733510569305,0.007271721204425703,7.7094535760985,1.82598506516183,-0.023474518094337805,0.35513127167548536,-1.7633322325411316,4.116468427256792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.1891613388768,1661.8705452620163,1346.2083195671055,1601.5883803639074,1111.0558370367212,1622.0966165199309,1370.952111599245,1579.1181351853322,14.072673513463997,9.721046612339554,2.524934268300529,0.3001682406282432
5,0.060000000000000005,-5.561032408671611,3.1400940381157936,0.473550288746945,0.9941274421201768,0.10571931808729404,0.023104054806686126,-0.0005072063106050967,0.00832006464538614,-0.042131412047564314,0.04754602532316103,8.597579071001112,2.1195333360427395,0.016416416587971473,0.62570541025666,-2.8927851377963316,3.931736982775061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1211.9062722843723,1554.1307367977377,1402.9260066639367,1543.3425357347394,1246.7813618545085,1530.4079058632487,1414.4224602362344,1530.216737880999,17.834207777955857,3.0416575324081814,-0.28052808665644013,0.04044326639458823
6,0.07,-5.560912312441464,3.139505281192077,0.474216658441182,0.9881470588298072,0.14969014263891586,0.03403260336745546,-0.00018229310518484893,0.016195689422965804,-0.0776225736687111,0.08516734047280611,9.09321382419984,2.2911330225210396,0.05480030348848965,0.92251912154819,-4.0916359267279265,3.602441275874224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.8769598139413,1491.5383034053673,1430.4099140953706,1508.1084175071821,1319.811537203606,1478.0300860360385,1435.736157985256,1500.3174794684942,22.688088185992868,4.541453740782146,0.5196471782350142,0.046033524848958805
7,0.08,-5.560691054998364,3.1384690870432737,0.4753341937620117,0.9811205426396891,0.1884687521695253,0.043381793138733145,0.0001740406056270443,0.028982222740387406,-0.13353798563068245,0.14305545333739986,6.432502345281473,1.3432793225851194,0.05403229080163672,1.458257533794062,-6.360956629932135,6.277410381501008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2064.416084448851,908.0071462291232,1735.0094520569023,1446.0561035206551,1896.5737174055917,1278.1085601440827,1667.2696222774346,1559.0361352938683,24.89532364328704,4.2332752071370585,0.6788220389414348,0.11433511526811296
8,0.09,-5.560313402035545,3.1367470608203956,0.47718525204935824,0.974823588178283,0.21758262277404747,0.04875165689040689,0.00022393843796943375,0.04759815280124594,-0.2158806871774115,0.2336320962325792,5.636657401834149,0.9869568715175419,0.06563502225450052,2.0927327717035413,-9.368736192590877,10.252145827417818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1937.7390001168094,1668.5867871467356,1863.4619217098516,1753.5661180178538,1964.7595382200423,1672.0768740701762,1873.6984828252307,1765.1471457954276,25.507257070663997,3.592133672268718,0.7660226784931013,0.15810240922183938
9,0.09999999999999999,-5.559722328623007,3.13406724725904,0.4800868972082323,0.9684984324180616,0.24329239426887392,0.05309925084754899,0.0002585616083589887,0.07126551525937466,-0.3235053308971441,0.3488215799060875,4.998091855524298,0.8549716405082538,0.07189299145403616,2.51255227642512,-11.554349381182716,11.826388094671014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1972.2014745883246,1823.9378538022427,1951.7093498854388,1863.7832409696937,1962.983666284716,1844.1037244984036,1944.6941712624487,1881.2139990730643,26.153460008322096,2.7174545470300617,0.7524445074070668,0.1998180576077071
10,0.10999999999999999,-5.558878603472689,3.1302245216855433,0.4841726014032003,0.9623224635257194,0.2658624215512884,0.05703058387185896,0.0004018754913608367,0.09787014867843111,-0.44720766223052344,0.4681700278305099,4.36849018466751,0.819216959301797,0.08077981667478767,2.7566929078329943,-12.9048916540484,11.820408328673926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986.7010427188975,1856.60800652751,1992.9229876809702,1882.472701029075,1971.32175686939,1876.1187850711833,1977.1973646722872,1902.0613278925273,27.00927984305123,1.6790583118017852,0.6650486380300434,0.23027474105846213
