,t,px,py,pz,qw,qx,qy,qz,vx,vy,vz,omex,omey,omez,accx,accy,accz,taux,tauy,tauz,jerkx,jerky,jerkz,snapx,snapy,snapz,bomex,bomey,bomez,baccx,baccy,baccz,mot1,mot2,mot3,mot4,motdex1,motdex2,motdex3,motdex4,f1,f2,f3,f4
1,0.02,-6.146661336911623,3.1919519868430304,0.500962795645142,1.0,1.2165270103623684e-27,5.303110032292305e-28,3.800941958135414e-28,-2.1851666805634493e-25,-3.4218856970945055e-26,-0.09763553801602431,-4.141282798647678e-26,2.3232383638905356e-26,-9.193392323964714e-27,8.129637718596484e-27,4.2069691220487835e-27,-9.724914429119337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.842001070297597,9.999999999999998,7.189738155853425,0.35377315845220053
2,0.03,-6.146660962885242,3.191951240029652,0.49990095802209733,0.9999853834572265,0.004751520902091773,0.0025712952479885367,-0.0002106223359850964,0.00021609712806991622,-0.00041905679228527553,-0.07928259171793683,2.6491444677746263,1.5804117657196297,-0.12018487742252104,0.08326109583824937,-0.15594579180220275,9.115900004698862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2599.3606640830967,1100.1215399387952,1581.1759441104011,0.0,2599.838662951861,1302.693760073261,1572.7437555001827,13.842001070297597,9.999999999999998,7.189738155853425,0.35377315845220053
3,0.04,-6.1466477448612356,3.191928452440711,0.4995125388645463,0.9995060374338054,0.02641327581585538,0.016998267697816403,-0.0010386959717033491,0.0031304012192813137,-0.005179743090238079,-0.005491123075036067,5.755264498856082,3.986524075187779,-0.18033245115995677,0.49187725819814204,-0.7687640608824318,5.557733760450747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.0959145530824,1317.8649872544868,1570.3250068145965,0.0,1926.058650491914,1343.2956949809002,1558.7082510117282,13.842001070297597,9.999999999999998,7.189738155853425,0.35377315845220053
4,0.05,-6.146581641805146,3.19182373783777,0.49968635018302676,0.9973363718389237,0.060364248436856456,0.04090849418414309,-0.0016775045191123766,0.011086207270197917,-0.01717106929247135,0.03759943511546567,7.66239062559628,5.462593906912177,-0.08592490973539182,1.081662825860927,-1.6032749721704171,3.8002910851697576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.8355297815758,1703.6784631377982,1372.6227274130774,1517.7253661665673,894.6261142447697,1633.2596714960514,1380.71741787945,1503.7742365136141,13.842001070297597,9.999999999999998,7.189738155853425,0.35377315845220053
5,0.060000000000000005,-6.146402084285692,3.1915512897551324,0.5002479034984658,0.9923710015358312,0.10135991984365372,0.07016484446770647,-0.0016901363500724433,0.02614748934080837,-0.03917590278532744,0.07428840778418692,8.69781015910869,6.247982244391575,0.04289841745346901,1.8679103956491978,-2.7081488803991705,3.541548880176673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.6622784776464,1556.7408617786155,1387.375545796859,1473.705910980025,1113.5985579653216,1525.361192057571,1388.48016907523,1463.183135089032,17.71863181705696,3.6573999399505013,3.3820855301200425,0.3201846067752903
6,0.07,-6.1460312011342415,3.191001753452313,0.5011598685358195,0.9840022943677883,0.14599937117175435,0.10209128856607257,-0.0010183787605904352,0.04943498479467115,-0.07269117320574767,0.10730639558377963,9.271438416066896,6.682980283769478,0.17640519962050316,2.7094241551013085,-3.8816727304870344,3.0736264006972074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1207.4458808523466,1476.5013211117675,1384.5609673481292,1441.3668863708363,1239.9142272621598,1460.391764276554,1382.4517946177436,1433.2851149321823,22.999573215920343,4.9634395229622905,4.291284107700557,0.20750267236851389
7,0.08,-6.14535660571954,3.190017797748878,0.5024923412472538,0.9736415407910732,0.18624546868109015,0.13166113665143472,0.00034718496265356895,0.08826051320252717,-0.12792577152165419,0.1631921501248305,6.846898501014892,5.265711182861322,0.2572458852689066,4.385106536777205,-6.198494671499035,5.694142297748561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.8181150681326,839.2829973954122,1692.4805402118004,1421.1142360232386,1809.4544742901214,1248.3571250987643,1650.9902435439042,1488.5469138880771,25.441391241181798,4.786985353041892,4.301842669344112,0.24665203618703896
8,0.09,-6.144203945862894,3.1883594635107366,0.5045089784059831,0.9636316443096026,0.21721364029387763,0.15565089665829554,0.0022554212294431364,0.14609859844730766,-0.20886385824336137,0.2461447223580458,6.035385215497352,4.856507976500771,0.32207625932002804,6.658765510417303,-9.24807932802879,9.34564911126967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1910.155475912941,1625.9532005577723,1802.073232471018,1717.377535222893,1940.5007855601295,1631.8814033409212,1807.8196763639685,1729.2701338736777,26.37163989587919,3.9818837511058214,3.8386046515037333,0.3279324885704116
9,0.09999999999999999,-6.142368009716591,3.185753921305846,0.5074845829590845,0.9530925787152291,0.24482201247827487,0.17792064901293522,0.0045783467385423805,0.22387482997719413,-0.31573390506568766,0.35042512090466293,5.458470373354644,4.6022274952251205,0.3628701825242303,8.429105643691981,-11.48466691856964,10.536586807461612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1950.6733422049224,1803.015845619283,1885.516368096295,1828.85353549435,1943.551918305661,1823.9730771323632,1881.2922044190532,1841.3598261079944,27.35104183459831,2.961604864193637,3.169251379350733,0.40779936725454996
10,0.10999999999999999,-6.139680269778519,3.1819896233354075,0.5115173549944753,0.9423543755281674,0.2692674687470783,0.19852097204113953,0.00725843352935091,0.31567093633208365,-0.4393976697079598,0.45539819250494057,4.782650690951467,4.249744969791863,0.39786173241802075,9.6696673489286,-12.909024225767673,10.199040313115914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999.0948989519754,1818.0547115669265,1929.2843323717218,1868.021249047234,1973.1457070960687,1852.5807120727045,1920.8618314028076,1879.4196712185646,28.476299165852005,1.774294306180963,2.3387389131495047,0.47909683301132305
