,t,px,py,pz,qw,qx,qy,qz,vx,vy,vz,omex,omey,omez,accx,accy,accz,taux,tauy,tauz,jerkx,jerky,jerkz,snapx,snapy,snapz,bomex,bomey,bomez,baccx,baccy,baccz,mot1,mot2,mot3,mot4,motdex1,motdex2,motdex3,motdex4,f1,f2,f3,f4
1,0.02,-6.466715942159991,3.295334613394439,0.5012823827849551,1.0,1.2165270103623684e-27,5.303110032292305e-28,3.800941958135414e-28,-2.1720445130936155e-25,-3.412265268752862e-26,-0.0978933660317006,-4.141282798647678e-26,2.3232383638905356e-26,-9.193392323964714e-27,1.3889641607433258e-25,1.3886635402090362e-26,-9.773815967833805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.877713933533158,9.999999999999998,9.483980358247054,0.2243518756135922
2,0.03,-6.466715237045978,3.295333581222347,0.5003100832682834,0.9999783206546607,0.005334697689032297,0.0038326779075698804,-0.00045804072745575514,0.0004033078475931135,-0.0005797361113530277,-0.05258776090907063,2.9778069733777306,2.277716529570636,-0.2618503502399778,0.1533278170877889,-0.2156636444363882,13.529803293349788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2586.2999003325226,1344.6212462504077,1109.8207204424234,0.0,2557.6653135189567,1490.5597618601332,1102.289669034191,14.877713933533158,9.999999999999998,9.483980358247054,0.2243518756135922
3,0.04,-6.466692400836193,3.295303158263178,0.5003632687736185,0.9992938658013476,0.029078184430638903,0.023677569946274367,-0.0023667791311218094,0.005250866871674672,-0.006793875254721141,0.052660211433583244,6.182379342928069,5.3602971733760185,-0.4461616949936477,0.792783679375031,-0.9821891825406783,7.980705131592256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1945.5903859930083,1419.203952033039,1242.7916428093204,0.0,1819.4504723992823,1416.9649569622063,1265.1644161102336,14.877713933533158,9.999999999999998,9.483980358247054,0.2243518756135922
4,0.05,-6.466585533510796,3.295169308151734,0.5012208947429119,0.9963322015548652,0.06506243816870441,0.05540204740879743,-0.00443130085780128,0.017432881250250203,-0.021461147609785087,0.1137577110680974,8.059976825733923,7.225877602601712,-0.39015401299062735,1.5846115442889572,-1.8813045562672408,4.921899771934441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0401721371887,1561.013581620476,1410.3245467577744,1264.8077729086426,676.6189915334279,1466.273909225184,1400.2061512996759,1270.9479068496714,14.877713933533158,9.999999999999998,9.483980358247054,0.2243518756135922
5,0.060000000000000005,-6.466312170489699,3.2948382832261647,0.5025914568805058,0.9896971688977051,0.10780984767826936,0.0940280625243762,-0.00593919837755171,0.03907966667378469,-0.04681357350910033,0.15963818527794332,9.012678292957442,8.25274297907149,-0.28562928309726865,2.670188953290034,-3.1029156652498875,4.399444472304309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863.7273439130074,1381.4024152083553,1370.0816238908126,1280.2215100373255,931.6447755555175,1349.6152819903095,1360.9573110137717,1281.4172173955358,17.641567095504183,4.137537410020631,4.727198953109327,0.41361417821731794
6,0.07,-6.465765530748334,3.29419009547918,0.5043972418495526,0.9786939161552671,0.15365016718833274,0.13602474956177762,-0.006863826215744221,0.07220132271263152,-0.08499531711553301,0.20046040607203386,9.499192851015627,8.811820647756685,-0.1982943078908284,3.840003441568249,-4.404220431539541,3.7794944929983587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.2323247336803,1294.148785598288,1340.8420564432113,1283.043808900133,1062.47282944789,1276.517572903817,1333.2742720500346,1283.624700947836,23.52002568308873,5.515278026553114,6.292602804187768,0.19621389858310123
7,0.08,-6.464776714148799,3.2930360554294067,0.5067352296574757,0.9651415078837086,0.19409197345761633,0.1754379641717659,-0.007190015754896039,0.1289231151246025,-0.14942128933431031,0.26933565426764144,6.917931471342105,7.153329978195811,-0.20157948779595855,6.030895520527782,-6.784496772948373,5.92092310865322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1770.3495391861643,539.1209343675916,1380.514832961529,1480.2386223355747,1529.8295719376697,918.9284090733914,1371.2400402422988,1505.7548639543118,26.330762545562582,5.29741023166632,6.1042571066420965,0.18368647631312346
8,0.09,-6.463129236517681,3.2911424771137607,0.5097897689533096,0.9516140670236698,0.22572043223259267,0.2084039847706062,-0.006980905896441441,0.20582183564359186,-0.23483022090313296,0.3473002710490132,6.3099538812044855,6.792650917228292,-0.10891097794512146,8.913221391065317,-9.811922966076969,8.808114206459495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1628.512288987826,1361.536123871576,1622.6873036808197,1567.1288548106404,1668.3091539587563,1364.975033455811,1605.7773361841253,1597.10643461076,27.622787501828423,4.307093422711272,5.397792621343584,0.24762641265188615
9,0.09999999999999999,-6.460564246909388,3.288241211115499,0.5137503175246918,0.9370047106696857,0.2542306072073952,0.2394805968443724,-0.006165571898931502,0.31118467989005383,-0.34936993263078286,0.4459933092987104,5.797580595890752,6.456940436333942,-0.05593374530181701,11.46667648581845,-12.350108667807724,9.877444991999774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1677.6495797532816,1555.305892654339,1685.136331035693,1673.7463664413926,1675.7496025105104,1573.1208667660082,1691.0929017103113,1673.7006576962376,28.895670052151075,3.136934616921052,4.367940317912998,0.30635760992899896
10,0.10999999999999999,-6.456838052778401,3.284091322072914,0.5187029706715424,0.9219720564345378,0.27932966115433366,0.26817711233704,-0.004848089504250777,0.4370397321963015,-0.48329368070006046,0.5434947054394014,5.02080067749112,5.954771630279589,-0.0056638805373544505,13.307885067111002,-14.022805962192407,9.343516142840791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1740.0406752351741,1573.9943271542313,1717.1964485169112,1727.6954461591665,1713.642231692218,1613.7033701555042,1719.9136050446537,1726.9080174024161,30.250959986408215,1.8124276946668583,3.1475550045542553,0.3429891778269236
