,px,py,pz,qw,qx,qy,qz,sx,sy,sz,color_r,color_g,color_b,color_a
68,-4.1841882568401,0.80743618795166,2.13660504096965,0.829360336196249,0.0595757140058906,0.488979363654955,0.263650050189125,1,1,1,0,0,1,0.5
69,-4.11099749897497,0.73242438529347,2.1799660129252,0.820133934574185,0.0404660771798747,0.50036481319257,0.274550322666546,1,1,1,0,0,1,0.5
70,-4.03581957872278,0.658112531888264,2.22330602074977,0.810332282801302,0.0211202687894818,0.511406954393478,0.285269088220715,1,1,1,0,0,1,0.5
71,-3.95861927011679,0.584633874979587,2.26659382595888,0.800013317701168,0.00172815789400648,0.522048688704985,0.295704027014292,1,1,1,0,0,1,0.5
72,-3.87937749178016,0.512121136607116,2.30978866786996,0.789242992269533,-0.0176219074928421,0.532221357466884,0.305819218143423,1,1,1,0,0,1,0.5
73,-3.79808199539959,0.440707873965258,2.35284626569638,0.778066807642,-0.0369101856356975,0.541879181153963,0.315621029201219,1,1,1,0,0,1,0.5
74,-3.71472572123069,0.370528714130203,2.39572011116394,0.766552351066707,-0.0560435405266472,0.550981309912236,0.325078776247756,1,1,1,0,0,1,0.5
75,-3.62931153290834,0.30171613688896,2.43835945481015,0.754789181616143,-0.0748236521749891,0.559532944169635,0.334092198022178,1,1,1,0,0,1,0.5
76,-3.54185205016183,0.234398413457985,2.48070958009635,0.742805605876442,-0.0931519619449996,0.56762008342831,0.342593030800639,1,1,1,0,0,1,0.5
77,-3.45236404279272,0.168701461525256,2.52271409206844,0.730620701308099,-0.11107926998031,0.575253756849041,0.35062501598113,1,1,1,0,0,1,0.5
78,-3.36086745898563,0.104749787283803,2.56431533934129,0.718265577854991,-0.128700872753312,0.582376286564113,0.35828550887381,1,1,1,0,0,1,0.5
79,-3.26738676543435,0.0426661056384238,2.60545437174175,0.705796055722885,-0.145984246619308,0.58897401809179,0.365581910763952,1,1,1,0,0,1,0.5
80,-3.17195861381,-0.0174356921233229,2.64606832705533,0.693281673113232,-0.162776079914016,0.595125514641079,0.372411185863603,1,1,1,0,0,1,0.5
81,-3.0746267692787,-0.0754489276314557,2.68609227267995,0.680688888237726,-0.179055487151851,0.600988768344792,0.378700766138532,1,1,1,0,0,1,0.5
82,-2.97543554985634,-0.131269201339805,2.7254606108813,0.667960073272901,-0.194961456214794,0.606594010834761,0.384529683019745,1,1,1,0,0,1,0.5
83,-2.8744303283369,-0.184793421832338,2.76410654561399,0.655110837728128,-0.210631299891942,0.611811670534718,0.390065027392228,1,1,1,0,0,1,0.5
84,-2.77165973415225,-0.235920528461367,2.80196230898163,0.642183280805533,-0.226079499939,0.616582895494261,0.395365940041738,1,1,1,0,0,1,0.5
85,-2.66718435317694,-0.284561966960232,2.838957641739,0.629240958714548,-0.24120518882335,0.620953816894644,0.400365120914224,1,1,1,0,0,1,0.5
86,-2.56106955183594,-0.330635487380769,2.87502180520492,0.616251812892615,-0.255979300640801,0.625073082871409,0.404959185375075,1,1,1,0,0,1,0.5
87,-2.4533798526199,-0.374058972119887,2.9100838056013,0.60314265297867,-0.27048641055519,0.62900124169096,0.40916192370998,1,1,1,0,0,1,0.5
88,-2.34418104672854,-0.414752121910683,2.94407130683218,0.589971801900314,-0.284817215353608,0.632512163144407,0.413207926200717,1,1,1,0,0,1,0.5
89,-2.23354196690883,-0.452636850107802,2.97691200834122,0.576816717654484,-0.299015571346322,0.635397332232655,0.417303717355075,1,1,1,0,0,1,0.5
90,-2.12154295930863,-0.487649929931672,3.00853501582633,0.563806437325786,-0.313090120208422,0.637378022356762,0.421718074635727,1,1,1,0,0,1,0.5
91,-2.0082714025649,-0.519735045026686,3.03887403278453,0.551077355752114,-0.326920773337311,0.638405010662588,0.426468754188035,1,1,1,0,0,1,0.5
92,-1.89382078029607,-0.548844134911805,3.06786885377803,0.538787988737283,-0.340200344246312,0.638795830873885,0.431174112656669,1,1,1,0,0,1,0.5
93,-1.77829324967641,-0.574953790549881,3.09546565131167,0.527197088138482,-0.352655509531093,0.638649939705455,0.435687475571526,1,1,1,0,0,1,0.5
94,-1.66179796628001,-0.598073467671577,3.12161910880274,0.516441452712944,-0.364203099868405,0.637973912190095,0.440038197581589,1,1,1,0,0,1,0.5
95,-1.54443372111458,-0.618206073653469,3.14629086566689,0.506613536234489,-0.374819488887255,0.636729817822808,0.444328948808894,1,1,1,0,0,1,0.5
96,-1.42627329515979,-0.635299014791843,3.16944507883958,0.497758374300412,-0.384460384219549,0.63507668545864,0.448446671708504,1,1,1,0,0,1,0.5
